,Adams County,Alcorn County,Amite County,Attala County,Benton County,Bolivar County,Calhoun County,Carroll County,Chickasaw County,Choctaw County,Claiborne County,Clarke County,Clay County,Coahoma County,Copiah County,Covington County,DeSoto County,Forrest County,Franklin County,George County,Greene County,Grenada County,Hancock County,Harrison County,Hinds County,Holmes County,Humphreys County,Issaquena County,Itawamba County,Jackson County,Jasper County,Jefferson County,Jefferson Davis County,Jones County,Kemper County,Lafayette County,Lamar County,Lauderdale County,Lawrence County,Leake County,Lee County,Leflore County,Lincoln County,Lowndes County,Madison County,Marion County,Marshall County,Monroe County,Montgomery County,Neshoba County,Newton County,Noxubee County,Oktibbeha County,Panola County,Pearl River County,Perry County,Pike County,Pontotoc County,Prentiss County,Quitman County,Rankin County,Scott County,Sharkey County,Simpson County,Smith County,Stone County,Sunflower County,Tallahatchie County,Tate County,Tippah County,Tishomingo County,Tunica County,Union County,Walthall County,Warren County,Washington County,Wayne County,Webster County,Wilkinson County,Winston County,Yalobusha County,Yazoo County
Cedar Lake Christian Assembly,213.2190114,325.3737847,159.9047336,218.4198499,314.6347501,341.8490768,262.5691921,262.7953785,239.1674196,217.0272783,220.3424665,123.963022,229.6271409,355.1606412,186.0526545,117.1897856,364.2254772,69.28857691,185.9254798,45.63077679,70.07809811,277.9354095,36.17572604,11.17633682,212.7062671,250.5723886,276.1235203,276.7742227,296.6361307,19.43243383,118.1682761,211.5230723,128.7826823,93.83107307,175.7978228,299.9141599,85.31964381,150.4792062,144.2091341,192.2773062,279.0595845,291.73648,163.470247,236.5881177,213.8543141,105.5934939,328.7470216,263.2141119,248.3644137,168.6087411,144.3790846,204.367945,208.1033255,327.0221237,60.16892093,52.40216207,136.229987,265.2900929,310.7737591,338.7202889,183.4327514,169.2841719,275.8889643,157.9303031,140.8333171,33.54997493,311.842039,311.5973504,346.2360591,298.9617647,335.1348959,370.7671233,281.6258181,116.7714006,242.788013,311.0022777,96.04713866,237.3902762,189.0066282,186.8318296,290.1702404,244.8996613
Pentecostals of the Gulf Coast,213.6978675,326.955506,160.3817392,218.9084793,315.1344484,342.3422132,263.0631949,263.2862867,239.9056704,217.517543,220.8242663,125.5626697,231.2167632,355.656545,186.5338123,117.6695104,364.7255625,69.76564896,186.4042896,47.23746541,71.6827114,278.4283539,34.56630452,9.56704286,213.1898411,251.0612565,276.6124281,277.2607294,298.2217562,21.04145572,118.6503288,212.003428,129.262028,94.31073197,177.3930954,300.4108655,85.7968189,152.0766385,144.6883668,192.7638643,280.6451479,292.2280386,163.9493783,238.1788957,214.3401426,106.0708186,329.246362,264.8022268,248.8556066,169.0952971,144.863463,205.961004,209.6944077,327.5188805,60.64351922,52.87913374,136.706988,265.7859494,312.3571938,339.2163245,183.916302,169.7685899,276.3763252,158.4117189,141.3153626,34.02469547,312.3339311,312.0914517,346.7346741,300.5442219,336.7175324,371.2657475,282.1233876,117.2482402,243.2721495,311.4921679,97.64920601,237.8822199,189.4835672,187.3204702,290.6648334,245.3863964
Society of St. Vincent de Paul and Nativity of the Blessed Virgin Mary Conference,220.176182,326.6219088,166.8714842,225.3264313,321.4840333,348.7323244,269.4479582,269.6901627,246.0467095,223.9253948,227.2843991,125.1183498,230.8343657,362.0295637,192.9979112,124.1424627,371.0727556,76.25498623,192.8828907,46.7496566,71.20772102,284.8196538,35.07099179,12.67015481,219.6390167,257.4777345,283.0286589,283.6917897,297.8640449,20.53923537,125.1089032,218.4724808,135.737321,100.7840915,176.9757981,306.7789341,92.28551931,151.6460022,151.1643573,199.1946099,280.2878207,298.6278968,170.4259943,237.7893596,220.7753935,112.5585941,335.5981567,264.4291389,255.2577249,175.5260559,151.3076723,205.5573791,209.3029932,333.8866322,67.14813523,59.36909151,143.1967622,272.1592639,312.013014,345.5885301,190.3656223,176.2125543,282.8021099,164.8742254,147.7739803,40.52855724,318.7317286,318.4756051,353.0909486,302.2208852,336.3782818,377.6219639,288.4861215,123.7390117,249.7178498,317.9023297,97.18994085,244.2797012,195.9737231,193.7383538,297.0459508,251.8160469
New Life Family Church,214.5863733,330.720867,161.2654184,219.82248,316.0773229,343.26797,263.9912124,264.2062316,243.6872372,218.4358098,221.7204513,129.374792,235.0027341,356.5895208,187.4283229,118.5602831,365.669446,70.64950227,187.292675,51.06795422,75.50778663,279.3536102,30.72868648,7.024871266,214.0906541,251.9758791,277.5271544,278.1691923,301.9973009,24.87803088,119.5471742,212.8958456,130.1518118,95.20133322,181.1938053,301.3459334,86.68094087,155.8829818,145.5778557,193.6724621,284.4205308,293.1496798,164.8386026,241.9678809,215.246837,106.9553308,330.1883028,268.5842656,249.7762942,170.0038899,145.7663753,209.7559395,213.4841869,328.4540815,61.52091951,53.76272534,137.5906553,266.7188024,316.127024,340.1496442,184.8170547,170.6716049,277.2870163,159.3069026,142.2121893,34.90241488,313.2564422,313.0197256,347.6747224,304.3115027,340.4852804,372.2058197,283.0607092,118.1314867,244.1744297,312.4094568,101.4676401,238.8048664,190.3670722,188.2345006,291.5943902,246.2954554
Rivers of Living Waters Church of God,207.727961,337.9968272,154.3832984,213.0893463,309.4860542,336.5925793,257.3269477,257.5022983,251.0428233,211.7236395,214.8997719,136.8804983,242.3799561,349.949601,180.5994225,111.7130279,359.0831242,63.76825452,180.4336759,58.66389709,83.0771318,272.6757736,23.09770803,1.899580893,207.2927181,245.2457945,270.7975746,271.4088342,309.3232922,32.50387663,112.72976,206.0566557,123.2996952,88.35323982,188.6434401,294.7163064,79.8010103,163.3602946,138.724287,186.9127836,291.7457311,286.4540759,157.9837301,249.3599087,208.477801,100.0773141,323.5924425,275.942165,243.0760137,163.2441914,138.9787678,217.1772034,220.8801207,321.8251028,54.60796377,59.26146975,130.7084815,266.8828621,323.4249412,333.5114176,178.0188275,163.8844979,270.5376075,152.4813153,135.3946783,27.99103201,306.5651086,306.3567105,341.0695583,311.5968993,347.7729642,365.6007676,287.0552647,111.2472486,237.3836974,305.6924618,109.0043572,232.1142137,183.4840909,188.7419688,284.9376834,239.5380331
Biloxi First Baptist Church,215.0360456,325.0146871,161.7254192,220.2176003,316.4106598,343.6379334,264.3563399,264.5886322,240.9547669,218.8218019,222.1536922,123.5685531,229.2524536,356.9440374,187.865147,119.0051063,366.0006231,71.10913186,187.7426054,45.22241487,69.67383117,279.7246456,36.58948014,11.58983935,214.5139924,252.3696682,277.920721,278.576161,296.2693298,19.01946802,119.9790035,213.3371477,130.5987508,95.64652376,175.4119865,301.6959744,87.13999537,150.0891086,146.0254255,194.0791436,278.6929063,293.5284503,165.2867383,236.21115,215.6575908,107.4135501,330.5236373,262.8423987,250.1571058,170.4105825,146.185223,203.9864765,207.7257576,328.8038372,61.9943569,54.22291519,138.0506818,267.0735832,310.4112809,340.5034253,185.2405227,171.0902322,277.6892172,159.7422869,142.6440584,35.37516984,313.633351,313.3843036,348.0141061,298.6012152,334.7739924,372.5451518,283.4059283,118.5924139,244.5946281,312.7975397,95.64789528,239.1814868,190.8274452,188.6295579,291.9562236,246.701149
Saint Paul United Methodist Church,220.5417168,326.2410566,167.2382716,225.6853526,321.8354636,349.0881947,269.803243,270.0475415,246.4020628,224.2832094,227.6479418,124.7253657,230.4481666,362.3835612,193.3618885,124.5074104,371.4239235,76.6217293,193.248457,46.3519074,70.81137634,285.1756546,35.47059018,13.03996395,220.0013589,257.836494,283.3873912,284.0521468,297.4805505,20.13990708,125.4722756,218.8370009,136.1025251,101.1490839,176.5857749,307.1323896,92.65219253,151.2545175,151.5296377,199.554933,279.9043685,298.9848353,170.7913432,237.4023782,221.1362101,112.9251659,335.9498291,264.0439598,255.6149112,175.8863805,151.6694707,205.168854,208.9158061,334.2400529,67.51655233,59.73590263,143.5635528,272.5132943,311.6310023,345.9424386,190.7279805,176.5743258,283.1618891,165.2380285,148.1373574,40.89689181,319.0884412,318.8308228,353.4431116,302.5725322,335.9968102,377.9741205,288.8389926,124.1059117,250.0798111,318.260397,96.79531921,244.6363795,196.3405553,194.0972677,297.4008359,252.1762498
Saint Vincent De Paul – Biloxi,215.6294852,330.1197007,162.3112889,220.85102,317.0893599,344.2897909,265.011741,265.2313742,243.0768083,219.4619114,222.759174,128.746899,234.389788,357.6072156,188.4680026,119.6020991,366.6809064,71.69527309,188.3358557,50.4295638,74.87249037,280.375717,31.37115172,8.077396344,215.1267317,253.0040637,278.5552798,279.2008976,301.390314,24.23616178,120.5855193,213.9367216,131.1941931,96.24324722,180.5724352,302.3624324,87.72655816,155.2583918,146.6204056,194.7040901,283.8136363,294.1738529,165.8813037,241.353212,216.279553,108.0007251,331.2008735,267.973567,250.8010123,171.0355208,146.8012529,209.1378697,212.8690642,329.4705044,62.57037861,54.80864571,138.6365325,267.7365672,315.5233033,341.1671424,185.8531667,171.7064238,278.317448,160.3461976,143.2505451,35.95169154,314.2801181,314.0401078,348.6883748,303.7092391,339.8827498,373.2194585,284.07592,119.1776044,245.2096687,313.4361175,100.8361396,239.8284648,191.4130422,189.2630236,292.614039,247.3268199
Saint Mark Church,208.5520295,339.4911407,155.2062429,213.9193562,310.3227915,337.4253268,258.1602235,258.3336928,252.5409129,212.5546437,215.7256298,138.3857064,243.8790716,350.7840306,181.4248908,112.5376263,359.9200957,64.59124116,181.2577168,60.17338414,84.5853576,273.5084056,22.83489986,3.410651749,208.1196548,246.0759488,271.6277526,272.2375525,310.8199781,34.01478166,113.5557737,206.8816359,124.124063,89.17779867,190.1459893,295.5512246,80.62405929,164.8641563,139.5485858,187.7415348,293.2423797,287.2858651,158.8079669,250.8597261,209.3061083,100.9004537,324.428962,277.4403641,243.9075815,164.0729419,139.8061949,218.6784072,222.3801236,322.6600515,55.4294467,60.76984831,131.5314237,268.3797638,324.920296,334.3459276,178.8457506,164.7119485,271.3668451,153.306941,136.2206872,28.81258973,307.3971002,307.1900451,341.9056363,313.0916605,349.2678335,366.4368507,288.5511254,112.070093,238.2109754,306.5232363,110.5110358,232.9462382,184.3069944,190.2432558,285.7713175,240.3668909
Gateway United Methodist Church,200.9587737,332.0522138,147.6127284,206.3274685,302.7324528,329.8340694,250.5690878,250.7421239,245.1028555,204.962985,208.1327861,130.949288,236.4412504,343.1931606,173.8319574,104.9444926,352.329811,56.99773629,173.6644547,52.73795104,77.14963409,265.9171217,29.02160971,6.688340064,200.5270594,238.4840944,264.0359036,264.6453674,303.3815975,30.8395601,105.9629658,199.28859,116.5308761,81.58465581,182.7089587,287.960467,73.03056878,157.4274279,131.9553831,180.1493573,285.8039905,279.6943871,151.2147498,243.4220665,201.7138286,93.30698401,316.8385731,270.0023318,236.3160526,156.4807642,132.2137124,211.2410668,214.9425067,315.069301,47.83559558,53.33415997,123.9379086,260.9414329,317.4816088,326.7550761,171.2531521,157.1194715,263.7747795,145.7140438,128.6278782,21.21875584,299.8056688,299.5989229,334.3151458,305.6528367,341.8290346,358.8463614,281.1125547,104.4765554,230.6184587,298.9315247,103.074956,225.3548144,176.7134704,182.8059346,278.1802642,232.7747379
Gulf Coast Community Ministries 2,209.1842645,340.9428294,155.8371038,214.5588554,310.9705157,338.0681728,258.8037156,258.9748847,253.9972182,213.1953585,216.3600527,139.8507148,245.3366311,351.4289332,182.0588374,113.1705092,360.5681061,65.22215353,181.8899181,61.64362414,86.05405557,274.1511106,23.46235105,4.882828157,208.7553965,246.7156245,272.2674572,272.8754724,312.2745672,35.4867553,114.1903869,207.5149855,124.7566639,89.81063324,191.607747,296.1967247,81.25504787,166.3275186,140.1811024,188.3794951,294.6969232,287.9275396,159.4404076,252.3181438,209.9435258,101.531553,325.0764197,278.8968032,244.5489854,164.7109013,140.4425362,220.1385199,223.838768,323.3055889,56.05852057,62.23873305,132.1622817,269.8346169,326.3732576,334.9909286,179.4814757,165.3483186,272.0053999,153.94108,136.8552946,29.44175507,308.0390221,307.8336091,342.5525544,314.5438965,350.7202016,367.0837749,290.0047056,112.7008315,238.8471345,307.1636703,111.9778422,233.5882005,184.9378051,191.7034703,286.4152475,241.0049814
Handsboro United Methodist Church,213.8545473,333.1739523,160.5282493,219.1188804,315.4056892,342.577384,263.3031307,263.5092124,246.158264,217.7369333,220.997127,131.879646,237.4786364,355.906927,186.7031454,117.8309682,364.9989285,69.91252733,186.560716,53.59314133,78.02698047,278.6624711,28.20526366,6.274813667,213.3724539,251.2729674,276.8243572,277.4594605,304.4616601,27.40995606,118.8245828,212.1683505,129.4214019,94.47182885,183.6860247,300.6656569,85.94426312,158.3814379,144.8471191,192.9628809,286.8847112,292.454538,164.1075727,244.44712,214.5351482,106.2190848,329.515635,271.0558145,249.0800975,169.2943036,145.0505002,212.2417662,215.9643054,327.7739519,60.77680027,54.20882496,136.8534735,266.0360743,318.585057,339.4674313,184.098788,169.9558433,276.5797514,158.5824708,141.4895766,34.15864933,312.5622632,312.331927,346.999959,306.7667137,342.941008,371.5310823,282.3829282,117.3938393,243.4578534,311.709496,103.9794818,238.1108385,189.6297098,187.5309343,290.9080122,245.5863841
My Brother’s Keeper,126.9570288,267.399067,115.9197874,87.54206715,228.5160936,143.9555692,159.8848841,92.80104237,181.141933,124.6997444,66.83496643,104.805067,172.6681866,157.6230928,46.85721522,82.42620444,186.8818176,130.6680976,100.4568222,189.8061844,165.5397685,121.7045727,172.9439798,194.8585241,19.04866977,60.48947233,77.68687843,78.02854086,239.1630024,218.9790537,81.14809617,90.83131785,70.88227321,105.793024,119.5650023,180.1326185,114.6240123,94.52399592,55.47060502,68.08622782,221.5788022,93.64075792,70.43175884,179.7773689,30.22967281,94.33120914,206.864645,206.0611064,113.477215,91.75184413,67.57936533,147.8505224,151.3321195,154.0079923,140.1060044,147.5671767,92.17435599,196.762919,253.0192036,141.1999938,15.69185553,43.51325795,77.25323098,41.46867111,58.48433337,166.7088221,113.788898,113.8285593,174.036789,241.081981,277.277455,173.5794476,216.7432401,83.21591209,43.73783957,112.69149,132.4059199,140.752502,146.8492148,119.4309868,144.8574626,46.18390746
Central United Methodist Church 2,125.4071827,268.8927088,114.36508,89.0660576,230.0108598,142.5767898,161.3946857,94.31903377,182.6519848,126.219406,65.29290353,106.2126464,174.1826868,156.2516266,45.3134765,83.84031722,188.3755978,132.0891988,98.90687133,191.2323427,166.9604499,123.2171867,174.3773799,196.2915735,17.51130592,62.01285428,76.29695688,76.6322658,240.6669373,220.4113684,82.55604941,89.28543992,72.29739645,107.2072958,121.0944074,181.6352943,116.0448511,96.05910086,56.88603723,69.61568138,223.0825869,92.25783966,68.88267306,181.2949046,31.76107183,95.75166477,208.3603692,207.5716162,114.9944427,93.28128668,69.11455433,149.3740829,152.8504762,155.5105531,141.5336454,148.9885329,90.61965144,198.2678165,254.5173641,139.8288885,17.09588831,45.04835924,75.85921653,42.87833587,59.8923205,168.1361232,112.4068478,114.2877646,175.5344466,242.5775791,278.773497,172.2151686,218.2436157,84.63765841,42.33531669,111.3041433,133.8198849,142.2677347,145.2943126,120.9549252,146.3657226,44.78825884
Care Center Ministries,126.1545162,268.1654565,115.1141503,88.32796207,229.2832057,142.8758089,160.6616596,93.58308157,181.9188694,125.4828571,66.03745619,105.9033378,173.447982,156.5480328,46.05862786,83.52867424,187.6482959,131.775059,99.65424225,190.9163961,166.6464601,122.4831558,174.0588458,195.9731648,18.25417964,61.2749761,76.5999568,76.93753577,239.9360075,220.0932222,82.24660718,90.03135564,71.98539242,106.895596,120.3543774,180.9048141,115.730805,95.31703438,56.57392278,68.87563397,222.3517107,92.55833739,69.62973485,180.5591154,31.02032929,95.43775556,207.6323728,206.8383372,114.2587634,92.54124324,68.37245777,148.6361411,152.1143936,154.780114,141.217169,148.674302,91.36872072,197.5365426,253.7884973,140.1251657,16.78784672,44.30629398,76.16367881,42.56828207,59.58286612,167.8197683,112.7070355,113.5548188,174.8057593,241.8496278,278.0453872,172.5090068,217.5139574,84.32328804,42.6428189,111.6062233,133.5082948,141.5327682,146.0434526,120.2168483,145.6332473,45.09330494
Operation Upward,123.549579,270.7180927,112.5046899,90.90883905,231.8368885,142.7555797,163.2293333,96.15837642,184.4867757,128.0597058,63.4397617,106.0503652,176.0200277,156.4346088,43.45937418,83.68178149,190.2010616,131.9346691,97.04920776,191.0807116,166.8056792,125.0534467,174.2299004,196.1438928,15.66085795,63.8552871,76.46935971,76.80102636,242.4982216,220.2632666,82.3939826,87.4301111,72.13944005,107.048851,122.9402923,183.4658572,115.890171,97.90825328,56.72825804,71.46159449,224.9137852,92.43425715,67.02550558,183.1339855,33.60810036,95.59676512,210.1869473,209.4066695,116.8333474,95.12719333,70.9637551,151.2166176,154.6900279,157.3410503,141.3828647,148.8341492,88.75926305,200.0996527,256.3453383,140.0120777,16.93157443,46.8975099,76.02927303,42.71725047,59.73027325,167.9851475,112.5837628,116.1222839,177.362133,244.4040846,280.6002567,172.402271,220.0728599,84.48349874,42.50049579,111.4780219,133.6612641,144.1054957,143.4338107,122.7976767,148.1994867,44.95737873
New Jerusalem Church,121.5307025,272.7043102,110.4829892,92.91269111,233.8237597,143.0727917,165.2249408,98.15874299,186.4825284,130.0610424,61.42540788,105.7498859,178.0183649,156.7560703,41.44404691,83.38509893,192.1873604,131.642047,95.03027066,190.7910275,166.5128128,127.0506886,173.9444246,195.858213,13.64923478,65.85878594,76.78009785,77.10807252,244.4904197,219.9771597,82.0937208,85.41354049,71.84334478,106.7522606,124.9472899,185.4573244,115.5973965,99.91856278,56.43234248,73.46862084,226.9058962,92.74906466,65.00707144,185.1340864,35.61625744,95.30376821,212.1743753,211.402688,118.83327,97.13421302,72.97411374,153.2202192,156.6906061,159.332451,141.0940427,148.5416751,86.73756418,202.0924105,258.3341813,140.3337491,16.62903517,48.90781785,76.33763283,42.41798363,59.43003138,167.6961278,112.8990745,118.1177615,179.3506847,246.391439,282.5878685,172.7279087,222.0629903,84.19125196,42.80391179,111.7902559,133.3644951,146.1042589,141.4119964,124.8014982,150.1941987,45.26478927
Rosemont Human Services Food Pantry,123.6683006,270.5270201,112.6171551,90.75683302,231.6472644,138.8671439,163.0590629,95.99864907,184.3168267,127.9021271,63.56850258,109.9758682,175.8558043,152.555587,43.58595876,87.61569579,190.0101698,135.8775785,97.16779528,195.0301293,170.7480471,124.8867973,178.1886412,200.1021815,15.79564824,63.70249877,72.56658251,72.89007013,242.3203978,224.220609,86.3199676,87.55394107,76.07465548,110.9829694,122.7952543,183.2864148,119.8327429,97.77055216,60.66387167,71.31662047,224.7357687,88.54049495,67.14520746,182.9736689,33.46563145,99.53884437,209.9985569,209.2373092,116.6726365,94.9822044,70.826163,151.0640563,154.5307689,157.1614608,145.3341926,152.7773863,88.87173256,199.9230692,256.160082,136.1335212,20.85251448,46.75980566,72.12122696,46.64543993,63.65630255,171.9360372,108.6911175,115.951726,177.1762321,244.2155308,280.412273,168.5325011,219.8904558,88.42723985,38.58149767,107.5785583,137.5949867,143.9422161,143.5460243,122.6456028,148.0272327,41.04722992
Word of Christ Ministry,122.3394596,271.8653002,111.2891303,92.09001642,232.9853554,140.6877777,164.3946291,97.33283976,185.652351,129.2360375,62.23835443,108.1503989,177.1905816,154.3749926,42.25609188,85.78912908,191.3484262,134.0498383,95.83897172,193.2015401,168.9203776,126.221891,176.3588356,198.2724349,14.46471085,65.03578419,74.38908718,74.71364186,243.6569495,222.3909859,84.49443537,86.2244336,74.247919,109.1563761,124.1275287,184.6231775,118.0050467,99.10186943,58.83708323,72.64888649,226.0723455,90.36182352,65.81623849,184.3079366,34.79757061,97.71121245,211.336487,210.5727567,118.0069555,96.31447239,72.15746601,152.3973122,155.8648986,158.4982427,143.5053542,150.9496034,87.54370711,201.259459,257.4976033,137.9528661,19.02764035,48.09112327,73.94441903,44.81962005,61.83076451,170.1072559,110.5123004,117.2873297,178.5138374,245.5534822,281.7501501,170.3506997,221.227605,86.59939111,40.40611853,109.4006307,135.768445,145.2768702,142.2180323,123.9787951,149.3630576,42.87069627
Clinton Community Christian Corp (4Cs),119.4948529,274.4282671,108.4201789,94.80505247,235.5539682,128.8598797,167.038573,100.0178269,188.2975406,131.9293792,59.43274966,120.1225436,179.8580548,142.5837394,39.44209985,97.79402248,193.9121158,146.089739,92.99384838,205.2667658,180.9581635,128.8799347,188.4603582,210.3721934,11.68265712,67.74778163,62.5053741,62.79808877,246.2714813,234.4870563,96.46846102,83.39971323,86.25787978,121.162059,126.869674,187.2314241,130.0436368,101.8725722,70.84859717,75.39129189,228.6861312,85.03953529,62.97545756,186.9906117,37.54973268,109.7478887,213.9099064,213.2202318,120.6881104,99.0568148,74.92859859,155.1101747,158.5516955,161.1059228,155.5780257,162.9907768,84.67477695,203.8788269,260.0832081,134.003388,30.98203981,50.86182443,62.04019497,56.80223541,73.80496715,182.1782162,98.66802157,119.9301655,181.096952,248.1262572,284.3251352,158.5954595,223.8243176,98.64253888,29.37195013,97.52980919,147.7725822,147.9480233,139.3480957,126.69356,151.9992857,30.95829308
Tinnin Road Church of Christ,122.6614832,271.3309676,111.5928006,91.67031912,232.4552777,129.3048738,163.9213395,96.89048944,185.1800012,128.7999866,62.58977892,119.6420475,176.7350306,143.0197128,42.60119277,97.30546368,190.8146355,145.5925637,96.16060504,204.7633578,180.4615099,125.7592296,187.9480143,209.8602844,14.83388845,64.61379524,62.96410629,63.26465921,243.1614895,233.9760559,95.98750111,86.56144799,85.76807316,120.6733066,123.7282695,184.1229771,129.5467837,98.72413824,70.35840772,72.24982169,225.5763224,81.91429191,66.14114454,183.8638463,34.40585992,109.2515061,210.8100321,210.1021308,117.5617168,95.91536089,71.78005797,151.9759783,155.4239146,157.9976144,155.0727832,162.4932887,87.84739275,200.7676433,256.9803364,130.8927126,30.50590934,47.71338921,62.50397646,56.31915967,73.32396296,181.6733958,99.11704718,116.813203,177.9946903,245.0265428,281.2248781,159.0225679,220.7187107,98.1445628,32.52137372,97.98536895,147.2842111,144.8240923,142.5209608,123.5588945,148.8839506,31.42408705
The Care Center – Clinton,120.9768743,273.0418583,109.9104632,93.36701937,234.1656414,132.3586211,165.6246736,98.58999351,186.8832193,130.4987113,60.90153045,116.5748408,178.4361695,146.0700407,40.91372676,94.23520083,192.5254582,142.5190343,94.47604416,201.6874655,177.388178,127.4612479,184.8687347,206.7811695,13.14344218,66.31077883,66.0230618,66.326586,244.8675687,230.8972854,92.9201188,84.8749833,82.69733735,117.6029702,125.4224405,185.8296423,126.4733765,100.4156444,67.28752688,73.94396804,227.2824711,83.61458997,64.45617829,185.5635667,36.09909564,106.1782774,212.5199471,211.8051358,119.2615786,97.60951328,73.47152385,153.6728818,157.1232502,159.7043322,151.9961958,159.4196406,86.16505317,202.4732709,258.6891148,132.5985332,27.4403581,49.40489518,65.56484602,53.25097552,70.25656398,178.5969682,102.172323,118.5166403,179.7037004,246.7365182,282.9346476,162.0695352,222.4264523,95.0707301,31.99838826,101.0431217,144.2140191,146.5248876,140.8387155,125.2556202,150.5880046,34.48571967
Morrison Heights Baptist Church,119.2331655,274.7894299,108.1670883,95.11250527,235.9131355,134.3035637,167.3711346,100.3358915,188.6296632,132.2444948,59.15728676,114.62792,180.1823077,148.0144806,39.16959808,92.28783083,194.2730198,140.5711842,92.73234247,199.739268,175.440357,129.2075154,182.9200394,204.8324985,11.39887547,68.05630638,67.96876984,68.27273075,246.614433,228.9486649,90.97317217,83.13100179,80.74989784,115.6555894,127.1675546,187.5765928,124.5255443,102.1603669,65.34006606,75.68907857,229.0293457,85.36060468,62.71241703,187.3094965,37.84407233,104.2304715,214.2673753,213.5515484,121.0075292,99.35462469,75.2162404,155.4183976,158.8691235,161.4512905,150.0478962,157.4717731,84.42167797,204.2200689,260.4363759,134.3453597,25.49368061,51.14961764,67.51083539,51.30391105,68.30961491,176.6486921,104.1174902,120.2631164,181.4509956,248.4839552,284.6820543,164.0134812,224.1735611,93.12283542,33.94496227,102.9886529,142.2666595,148.2709754,139.0953541,127.0011099,152.3345714,36.4318212
Grace House Food Pantry,126.8481446,267.4626284,115.8069831,87.6301015,228.5805616,141.702816,159.9614766,92.88423907,181.2187273,124.784288,66.73235858,107.0810447,172.748568,155.3762369,46.75325596,84.70745055,186.9454905,132.9549792,100.3478535,192.097144,167.8263116,121.7834331,175.2407791,197.1550407,18.9498512,60.57701595,75.42514014,75.76167914,239.2348641,221.2749779,83.42437527,90.72563357,73.16433414,108.0743983,119.657403,180.2034647,116.9106823,94.62099302,57.75291508,68.17866761,221.6505428,91.38466705,70.32348773,179.8601982,30.32368138,96.61757009,206.9298855,206.13827,113.5597958,91.84427507,67.67643019,147.9382101,151.4156109,154.0787458,142.3981597,149.8542639,92.06155391,196.8355568,253.0864088,138.9534289,17.96497312,43.61025206,74.9881922,43.74633033,60.76063977,169.0007033,111.5335072,112.854599,174.1035885,241.1471199,277.3429519,171.3383874,216.8122315,85.50331384,41.46593961,110.4318281,134.6870469,140.8334741,146.7362534,119.5189792,144.9328119,43.91755087
Jackson Revival Center Food Outreach,124.0560829,270.1931047,113.0095953,90.39383171,231.3122704,141.2859744,162.7096598,95.64139636,183.9671843,127.5432748,63.94882534,107.5294408,175.5018991,154.9674086,43.96788686,85.16300597,189.6761195,133.4181917,97.55567738,192.565897,168.2890636,124.5346982,175.7174677,197.6313446,16.17146706,63.34007983,74.99609039,75.32566748,241.9766184,221.7504767,83.87318133,87.93792009,73.62099691,108.5301277,122.4270653,182.9438403,117.3736073,97.39690073,58.2099166,70.94838372,224.3921328,90.96329099,67.53225984,182.6168551,33.09552954,97.08007558,209.6626443,208.8872286,116.3161161,94.61397881,70.45243034,150.7014685,154.1731677,156.8189958,142.8685381,150.3177556,89.26416955,199.5783663,255.8218362,138.5449964,18.40948414,46.38615644,74.55465763,44.1970123,61.20948324,169.470709,111.113082,115.6025368,176.838466,243.87974,280.0760578,170.9374345,219.5500864,85.96723374,41.02308232,110.0055992,135.1424397,143.5876082,143.9386519,122.2826521,147.6793063,43.48222606
Evers Care Food Pantry – Myrlie Evers-Williams Institute for the Elimination of Health Disparities,126.8003372,267.4844762,115.7569305,87.66596661,228.6029289,140.3979847,159.9907882,92.91733349,181.2481544,124.8181537,66.68814611,108.3991773,172.7800497,154.0747834,46.70826957,86.0286009,186.9674025,134.2793572,100.2999978,193.4238576,169.1504956,121.8140438,176.5708377,198.4849371,18.90780916,60.61260013,74.11516275,74.44876718,239.261466,222.604535,84.74268064,90.67965903,74.48595124,109.3956221,119.6957688,180.2294853,118.2349391,94.66199139,59.07467494,68.21705595,221.6770753,90.0779243,70.27603171,179.8930819,30.36296838,97.94165005,206.9526954,206.1679086,113.5925375,91.88265824,67.71746747,147.9738765,151.4488738,154.1047133,143.7255583,151.1787597,92.01150276,196.8626034,253.1103437,137.6521422,19.28146792,43.65124892,73.67632438,45.06542635,62.07896086,170.3279449,110.2271653,112.8838071,174.1272914,241.1698713,277.3659082,170.0402536,216.8371896,86.82798998,40.15014201,109.1230398,136.0081288,140.8652942,146.6861108,119.5548202,144.9614117,42.60492836
