City,CityWeight
Jackson,0.7693074290316086
Clinton,0.14047211596537146
Byram,0.0634940608012885
Raymond,0.009442319307429031
Terry,0.006603583652103885
Edwards,0.004982887054560097
Utica,0.003216227098852426
Bolton,0.0022045500301993153
Learned,0.000276827058586672
Gulfport,0.46250706425455446
Biloxi,0.3140402456138123
Long Beach,0.10647498460151254
D'Iberville,0.08055472654191247
Pass Christian,0.03642297898820825
Southaven,0.3916764989810147
Olive Branch,0.28534448854088457
Horn Lake,0.1912474525367371
Hernando,0.12207801494511782
Walls,0.009653544996245843
Hattiesburg,0.8052976748147517
Petal,0.19470232518524827
Tupelo,0.7077856420626896
Saltillo,0.09212448039546119
Baldwyn,0.05840167771411452
Verona,0.05240984159083249
Guntown,0.0452009137550088
Shannon,0.02801183387634348
Plantersville,0.016065610605549938
Meridian,0.9521882944698067
Marion,0.04781170553019327
Pearl,0.3572995691364225
Brandon,0.3319103380825249
Flowood,0.1352065766170601
Richland,0.09404985329491687
Florence,0.06036055087097883
Pelahatchie,0.01666622611086146
Puckett,0.004506885887235336
Madison,0.43087046262240636
Ridgeland,0.375886524822695
Canton,0.16745037788848022
Flora,0.025792634666418363
Oxford,0.9720355842498405
Taylor,0.013775759168199392
Abbeville,0.014188656581960137
Greenville,0.7986165739861657
Leland,0.10796148107961481
Hollandale,0.06314932863149329
Metcalfe,0.022107690221076903
Arcola,0.008164926081649261
Starkville,0.961266367011921
Maben,0.030525698651553645
Sturgis,0.008207934336525308
Columbus,0.9266708405071216
Caledonia,0.04480356863358898
Crawford,0.016512756299890435
Artesia,0.012012834559398966
Pascagoula,0.3072049011791364
Gautier,0.2657602842236303
Ocean Springs,0.2575496901794581
Moss Point,0.16948512441777516
Vicksburg,1.0
Laurel,0.7537697278762034
Ellisville,0.20011430078691694
Sandersville,0.027959730953532335
Soso,0.018156240383347254
Corinth,0.8349113444654845
Farmington,0.11792046823893958
Glen,0.02174786251219372
Rienzi,0.01606702243644919
Kossuth,0.00935330234693292
Clarksdale,0.8521322084826072
Jonestown,0.0550098231827112
Friars Point,0.051311683809083554
Lyon,0.01675719403675026
Coahoma,0.013174621518548481
Lula,0.011614468970299318
Greenwood,0.8572194424588993
Itta Bena,0.09828448892065761
Sidon,0.0184060042887777
Schlater,0.013878961162735287
Morgan City,0.012211103168930188
Natchez,1.0
Grenada,1.0
Brookhaven,1.0
McComb,0.7670765027322405
